word,Pred. Tag
موفقیت,N
گروه,NE
نورینو,N
اکستنشن,N
میلانو,N
برنده,NE
جایزه,N
اولین,ADJ
رتبه,N
در,PREP
سطح,NE
بین,ADJS
المللی,ADJ
در,PREP
اکستنشن,N
مو,N
با,PREP
همکاری,NE
برند,NE
هیردریمز,N
در,PREP
سال,NE
۲۰۱۹,ADJ
،,PUNC
در,PREP
رده بندی,NE
جهانی,ADJ
!,PUNC
چقدر,ADV
خوشحالم,ADJ
از,PREP
این,DET
موفقیت,N
چقدر,ADV
برای,PREP
رسیدن,N
بهش,PREP
تلاش,NE
کردیم,ADJ
،,PUNC
عشق,N
ورزیدیم,N
هیچ,ADJ
وقت,ADV
از,PREP
رسیدن,N
بهش,PREP
دست,NS
نکشیدیم,N
افتخار,VS
میکنم,ADJE
عضوی,ADJ
از,PREP
این,ADJ
گروه,N
هستم,N
،,PUNC
۲۰۱۹,ADJ
،,PUNC
!,PUNC
.,PUNC
۱,NUM
جوش های,NE
هورمونی,N
چه,ADJ
هستند,V
؟,PUNC
درمان,NE
جوش های,NE
هورمونی,ADJ
مستلزم,NE
شناخت,NE
دقیق,ADJ
علت,NE
آن,ADJ
است,V
.,PUNC
جوش های,NE
هورمونی,N
همان طور,ADJ
که,CONJ
از,PREP
نام,NE
آن,ADJ
مشخص,N
است,ADJ
،,PUNC
بر,PREP
اثر,NE
نوسانات,NE
هورمونی,NS
بدن,N
به,VS
وجود,VS
می آیند,VS
.,PUNC
نوسانات,NE
هورمونی,NE
اغلب,ADJ
هنگام,NE
بلوغ,N
به,PREP
دنبال,PREP
تغییرات,NE
هورمونی,N
این,ADJ
دوران,N
رخ,VS
می دهند,ADJ
.,PUNC
با,PREP
این,ADJ
وجود,NE
جوش های,NE
هورمونی,N
ممکن,ADJ
است,V
در,PREP
هر,DET
سنی,N
ایجاد,NE
گردد,ADJ
حتی,ADV
بزرگسالان,N
را,POSTP
نیز,ADV
تحت,NE
تاثیر,N
قرار,VS
دهد,ADJ
.,PUNC
در,PREP
بزرگسالان,N
ممکن,ADJ
است,V
علت,NE
عدم,NE
تعادل,NE
هورمونی,ADJ
یکسری,ADJ
از,PREP
بیماری ها,N
باشند,V
.,PUNC
جوش های,NE
هورمونی,N
در,PREP
زنان,N
شایع تر,ADJ
از,PREP
مردان,N
است,V
.,PUNC
برخی,PRO
از,PREP
عوامل,N
ممکن,ADJ
است,V
به,PREP
این,ADJ
امر,N
کمک,VS
کنند,ADJ
،,PUNC
از,PREP
جمله,NE
قاعدگی,NE
یائسگی,ADJ
.,PUNC
حدود,ADV
۵۰,NUM
درصد,NE
زنان,N
۲۰,NUM
تا,PREP
۲۹,NUM
ساله,ADJ
۲۵,ADJ
درصد,N
از,PREP
زنان,N
۴۰,NUM
تا,PREP
۴۹,NUM
ساله,ADJ
دچار,NE
جوش های,N
هورمونی,ADJS
می شوند,ADJ
.,PUNC
شکل,NE
جوش های,NE
هورمونی,N
چگونه,ADV
است,V
؟,PUNC
در,PREP
دوران,NE
بلوغ,N
،,PUNC
جوش های,NE
هورمونی,NE
اغلب,N
در,PREP
ناحیه,NE
صورت,N
ایجاد,NE
می گردند,N
.,PUNC
ناحیه,NE
یعنی,N
پیشانی,NE
خط,N
وسط,PREP
صورت,N
که,CONJ
شامل,NE
بینی,N
چانه,VS
می شود,V
.,PUNC
این,ADJ
در,PREP
حالی,PREP
است,N
که,CONJ
جوش های,NE
هورمونی,N
در,PREP
بزرگسالان,N
معمولا,ADV
در,PREP
قسمت,NE
پایین,ADJ
صورت,N
ایجاد,NE
می گردد,N
.,PUNC
منظور,NE
قسمت,NE
پایین,ADJE
گونه,N
در,PREP
ناحیه,NE
فک,N
می باشد,VS
.,PUNC
جوش های,NE
هورمونی,N
می توانند,ADJ
به,PREP
صورت,NE
جوش,ADJ
سر,NE
سیاه,N
یا,CONJ
سر,NE
سفید,ADJ
ظاهر,ADJ
گردند,N
.,PUNC
بعلاوه,PREPS
از,PREP
نظر,NE
اندازه,ADJ
ممکن,ADJ
است,V
گاهی,ADV
کوچک,ADJ
باشند,ADJ
گاهی,ADV
هم,ADV
به,PREP
بزرگی,NE
یک,DET
کیست,N
.,PUNC
کیست ها,N
در,PREP
بخش های,NE
عمقی تر,NE
پوست,N
تشکیل,NE
می شوند,ADJE
سطحی,ADJ
نیستند,ADJ
.,PUNC
این,DET
ضایعات,NE
پوستی,N
نسبت,PREP
به,PREP
لمس,NE
حساس,ADJ
هستند,VS
.,PUNC
جوش های,NE
هورمونی,N
ممکن,ADJ
است,V
بر,PREP
اثر,NE
تغییرات,NE
هورمونی,NE
شدیدی,ADJ
رخ,NS
دهد,N
که,CONJ
در,PREP
دوران,NE
زیر,ADJ
اتفاق,N
می افتد,N
:,PUNC
قاعدگی,NE
سندرم,N
تخمدان,NE
پلی,NE
کیستیک,NE
یائسگی,N
افزایش,NE
سطح,NE
آندروژن,N
زمانی,N
که,CONJ
تغییرات,NE
هورمونی,N
در,PREP
بدن,N
ایجاد,NE
گردد,ADJ
،,PUNC
تغییراتی,N
نیز,ADV
در,PREP
پوست,N
به,PREP
وقوع,NE
می پیوندد,N
.,PUNC
نتیجه,NE
این,ADJ
تغییرات,N
ایجاد,NE
جوش های,NE
هورمونی,N
در,PREP
سطح,NE
پوست,N
می باشد,VS
.,PUNC
برخی,PRO
از,PREP
این,DET
تغییرات,N
عبارتند,N
از,PREP
:,PUNC
التهاب,NE
پوست,N
افزایش,NE
تولید,NE
چربی,N
در,PREP
پوست,N
وارد,NE
شدن,NE
سلول های,N
مرده,ADJ
پوست,N
به,PREP
فولیکول های,N
مو,N
تولید,N
هرچه,ADJ
بیشتر,ADJ
باکتری های,NE
مولد,NE
آکنه,N
به,PREP
نام,NE
پروپیونی,NE
باکتریوم,NE
آکنه,N
(,PUNC
),PUNC
#,H1
جوش_صورت,H2
#,H1
زنان_زایمان,H2
#,H1
هورمون_زنانه,H2
به,PREP
یاد,NE
مرگ,N
در,PREP
پاییز,N
بیش,ADJ
از,PREP
پیش,NS
می افتم,N
،,PUNC
که,CONJ
در,PREP
افتادن,NE
برگ,NE
درختان,N
،,PUNC
عبرت هاست,N
.,PUNC
#,H1
پاییز,H2
#,H1
پاییز,H2
#,H1
پاییز_زیبا,H2
#,H1
پاییزعکس,H2
#,H1
عکاسی,H2
#,H1
عکس,H2
#,H1
هنرعکاسی,H2
#,H1
عکاس,H2
#,H1
هنر,H2
#,H1
پاییز_آخرین_فصل_سال_است,H2
اول,ADV
مهرماه,N
،,PUNC
مصادف,N
است,V
با,PREP
تولد,NE
محمدرضا,NS
شجریان,N
،,PUNC
استاد,NE
آواز,NE
ایران,N
؛,PUNC
او,PRO
در,PREP
سال,NE
۱۳۱۹,N
در,PREP
مشهد,N
دیده,N
به,PREP
جهان,N
گشود,N
.,PUNC
چندی,ADVS
پیش,ADV
،,PUNC
کیانوش,NE
فرید,N
،,PUNC
گفت وگویی,N
داشت,ADJ
با,PREP
آقای,NE
شجریان,ADJ
،,PUNC
که,CONJ
بخش هایی,N
از,PREP
آن,PRO
را,POSTP
می بینیم,V
#,H1
بازی_با_روح_و_روان,H2
#,H1
__,H2
#,H1
_,H2
#,H1
_,H2
۲,NUM
