word,Pred. Tag
از,PREP
وقتی,ADV
ترم,NE
جدید,ADJ
شروع,NE
شده,ADJ
هر,DET
روزی,N
که,CONJ
با,PREP
نیلوفر,NE
دانشگاه بودم,N
یه,DET
کافه ی,NE
جدید,ADJ
رفتیم,ADJ
هرچی,ADV
پول,N
داشتیم,ADJ
به,PREP
گای,NE
سگ,NE
رفت,N
.,PUNC
امروز,ADV
مثه,PREP
دوشنبه,N
قول,N
دادیم,INTER
که,CONJ
این,DET
آخرین,DET
کافه ای,N
باشه,ADJ
که,CONJ
رفتیم,N
مثه,PREP
اسب,NS
خوردیم,N
:,PUNC
),PUNC
خوب,ADV
خوب,ADJ
من,PRO
ملاک,NE
دوم,ADJ
واسه,PREP
انتخاب,NE
شوهر,N
رو,POSTP
هم,ADV
پیدا,VS
کردم,V
اولی,ADJ
قد,NE
بالا,ADJ
تیپ,NE
حسام,ADJ
منظور,PREP
دومی,NS
خنده های,N
مثه,PREP
سجاد,NE
افشاریان,N
که,CONJ
لپاش,N
رو,POSTP
بتونم,NE
بکشم,N
.,PUNC
اینجوری,ADV
که,CONJ
پیش,ADV
میرم,ADV
اخرش,ADV
یکی,PRO
هم,ADV
سن,NE
علی,N
نصریان,N
پیدا,VS
میشه,V
واسم,PREP
لذت,NE
ببر,N
از,PREP
هوای,NE
تازه,ADV
بوی,NE
باران,N
بوی,N
یار,ADV
می دهد,V
انستاگرام,N
فهیسبوک,ADJE
برگشته,NE
علنا,N
بهم,PREP
گفته,NE
من,PRO
ازت,PREP
خونه,NE
میخام,NE
اول,ADJ
زندگی,N
میتونی,N
!,PUNC
؟,PUNC
.,PUNC
گفتم,PUNC
نه,CONJ
نمیتونم,N
.,PUNC
از,PREP
کی,ADV
شما,PRO
انقد,ADV
وقیح,NE
شدین,N
!,PUNC
حالمونو,N
بهم,PREP
نزنین,N
با,PREP
معیاراتون,N
!,PUNC
لازم,ADJ
نیست,V
پسر,ADJ
باشی,V
بازی,N
بده,ADJ
بعد,PREP
برو,N
رو,POSTP
انجام,VS
بده,V
اینقده,V
خوبه,ADJ
لب,ADJ
یو,N
و,CONJ
زندگیش,NE
تخمی,ADJ
تر,ADJ
میشه,V
این,DET
کلیپه,N
چیه,ADV
رادیو,N
جوان,ADJ
پخش,ADJS
میکنه,ADJ
؟,PUNC
مرد,N
غول,ADJE
ریشوی,ADJ
۲,NUM
متری,N
با,PREP
دختر,NE
بچه,N
۹,NUM
ساله,N
؟,PUNC
میخونه,N
کوفت,N
درد,N
دل,NE
جون,N
منی,ADJ
.,PUNC
اخم,NE
تند,ADJ
با,PREP
بچه,N
میره,V
گردش,NE
تو,PREP
خیابون,NE
زهرمار,N
درد,N
.,PUNC
هر,DET
ننه,NS
قمری,N
دوربین,NE
دسش,ADJ
میگیره,ADJS
یه,DET
چرندی,NE
سرهم,ADJ
به,PREP
عنوان,PREP
کلیپ,NE
میسازه,ADJ
.,PUNC
ولی,CONJ
این,DET
ازدواج,N
کودکان,NE
دراومده,ADJ
.,PUNC
عقل,NE
مسئول,NE
پخش,NE
نمیرسه,N
؟,PUNC
آرمان,NE
جان,N
از,PREP
قدیم,NS
گفتن,N
هر,DET
ارزونی ای,N
بی حکمت,N
نیست,V
.,PUNC
کامنت,NE
تویین,N
پیکسو,ADJE
هرکار,N
کردم,V
خودم,PRO
پیداش,NS
نمیکردم,N
:,PUNC
),PUNC
دوباره,ADV
مینویسم,V
تویین,V
پیکس,ADJE
۱۹۹۰,ADJE
اگه,CONJ
اون,DET
نموند,N
چی,ADV
خانوم,NE
این,ADJ
یه,DET
قاعدست,N
که,CONJ
تعداد,NE
جنس,NE
خانوم,N
از,PREP
آقا,N
بیشتره,NE
خب,CONJ
